grade_section,gwa,remarks
GRADE 2 - GARCIA,85,VERY SATISFACTORY
GRADE 2 - GARCIA,83,SATISFACTORY
GRADE 2 - GARCIA,85,VERY SATISFACTORY
GRADE 2 - GARCIA,82,SATISFACTORY
GRADE 2 - GARCIA,91,OUTSTANDING
GRADE 2 - GARCIA,83,SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,90,OUTSTANDING
GRADE 2 - GARCIA,84,SATISFACTORY
GRADE 2 - GARCIA,89,VERY SATISFACTORY
GRADE 2 - GARCIA,88,VERY SATISFACTORY
GRADE 2 - GARCIA,88,VERY SATISFACTORY
GRADE 2 - GARCIA,89,VERY SATISFACTORY
GRADE 2 - GARCIA,84,SATISFACTORY
GRADE 2 - GARCIA,87,VERY SATISFACTORY
GRADE 2 - GARCIA,84,SATISFACTORY
GRADE 2 - GARCIA,87,VERY SATISFACTORY
GRADE 2 - GARCIA,84,SATISFACTORY
GRADE 2 - GARCIA,79,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,82,SATISFACTORY
GRADE 2 - GARCIA,84,SATISFACTORY
GRADE 2 - GARCIA,91,OUTSTANDING
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,78,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,88,VERY SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,88,VERY SATISFACTORY
GRADE 2 - LAUREL,85,VERY SATISFACTORY
GRADE 2 - LAUREL,90,OUTSTANDING
GRADE 2 - LAUREL,76,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - LAUREL,89,VERY SATISFACTORY
GRADE 2 - LAUREL,80,SATISFACTORY
GRADE 2 - LAUREL,80,SATISFACTORY
GRADE 2 - LAUREL,82,SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,86,VERY SATISFACTORY
GRADE 2 - LAUREL,82,SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,76,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,83,SATISFACTORY
GRADE 2 - LAUREL,90,OUTSTANDING
GRADE 2 - LAUREL,83,SATISFACTORY
GRADE 2 - LAUREL,79,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,75,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,90,OUTSTANDING
GRADE 2 - LAUREL,85,VERY SATISFACTORY
GRADE 2 - LAUREL,83,SATISFACTORY
GRADE 2 - LAUREL,86,VERY SATISFACTORY
GRADE 2 - LAUREL,85,VERY SATISFACTORY
GRADE 2 - LAUREL,83,SATISFACTORY
GRADE 2 - LAUREL,75,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,87,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,84,SATISFACTORY
GRADE 2 - MAGSAYSAY,86,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,78,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,83,SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,83,SATISFACTORY
GRADE 2 - MAGSAYSAY,84,SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,83,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,77,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,87,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,84,SATISFACTORY
GRADE 2 - MAGSAYSAY,87,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,86,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,78,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,87,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,83,SATISFACTORY
GRADE 2 - MAGSAYSAY,90,OUTSTANDING
GRADE 2 - QUEZON,78,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,85,VERY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,86,VERY SATISFACTORY
GRADE 2 - QUEZON,82,SATISFACTORY
GRADE 2 - QUEZON,78,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,77,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,83,SATISFACTORY
GRADE 2 - QUEZON,87,VERY SATISFACTORY
GRADE 2 - QUEZON,79,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,81,SATISFACTORY
GRADE 2 - QUEZON,85,VERY SATISFACTORY
GRADE 2 - QUEZON,77,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,88,VERY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,85,VERY SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,76,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,85,VERY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,81,SATISFACTORY
GRADE 2 - QUEZON,81,SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,83,SATISFACTORY
GRADE 2 - QUEZON,83,SATISFACTORY
GRADE 2 - QUEZON,88,VERY SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,92,OUTSTANDING
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,87,VERY SATISFACTORY
GRADE 2 - ROXAS,85,VERY SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,89,VERY SATISFACTORY
GRADE 2 - ROXAS,86,VERY SATISFACTORY
GRADE 2 - ROXAS,87,VERY SATISFACTORY
GRADE 2 - ROXAS,86,VERY SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 3 - EARTH,82,SATISFACTORY
GRADE 3 - EARTH,82,SATISFACTORY
GRADE 3 - EARTH,80,SATISFACTORY
GRADE 3 - EARTH,85,VERY SATISFACTORY
GRADE 3 - EARTH,91,OUTSTANDING
GRADE 3 - EARTH,78,FAIRLY SATISFACTORY
GRADE 3 - EARTH,78,FAIRLY SATISFACTORY
GRADE 3 - EARTH,87,VERY SATISFACTORY
GRADE 3 - EARTH,78,FAIRLY SATISFACTORY
GRADE 3 - EARTH,85,VERY SATISFACTORY
GRADE 3 - EARTH,86,VERY SATISFACTORY
GRADE 3 - EARTH,86,VERY SATISFACTORY
GRADE 3 - EARTH,81,SATISFACTORY
GRADE 3 - EARTH,80,SATISFACTORY
GRADE 3 - EARTH,82,SATISFACTORY
GRADE 3 - EARTH,76,FAIRLY SATISFACTORY
GRADE 3 - EARTH,83,SATISFACTORY
GRADE 3 - EARTH,90,OUTSTANDING
GRADE 3 - EARTH,83,SATISFACTORY
GRADE 3 - EARTH,81,SATISFACTORY
GRADE 3 - EARTH,84,SATISFACTORY
GRADE 3 - EARTH,82,SATISFACTORY
GRADE 3 - EARTH,79,FAIRLY SATISFACTORY
GRADE 3 - EARTH,81,SATISFACTORY
GRADE 3 - EARTH,83,SATISFACTORY
GRADE 3 - EARTH,80,SATISFACTORY
GRADE 3 - EARTH,86,VERY SATISFACTORY
GRADE 3 - EARTH,80,SATISFACTORY
GRADE 3 - EARTH,84,SATISFACTORY
GRADE 3 - EARTH,88,VERY SATISFACTORY
GRADE 3 - EARTH,82,SATISFACTORY
GRADE 3 - EARTH,79,FAIRLY SATISFACTORY
GRADE 3 - EARTH,78,FAIRLY SATISFACTORY
GRADE 3 - EARTH,86,VERY SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,86,VERY SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,82,SATISFACTORY
GRADE 3 - JUPITER,86,VERY SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,83,SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,87,VERY SATISFACTORY
GRADE 3 - JUPITER,83,SATISFACTORY
GRADE 3 - JUPITER,82,SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,87,VERY SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,85,VERY SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,84,SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - MARS,80,SATISFACTORY
GRADE 3 - MARS,85,VERY SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,92,OUTSTANDING
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,76,FAIRLY SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,75,FAIRLY SATISFACTORY
GRADE 3 - MARS,75,FAIRLY SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,75,FAIRLY SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,83,SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,85,VERY SATISFACTORY
GRADE 3 - MARS,93,OUTSTANDING
GRADE 3 - MARS,76,FAIRLY SATISFACTORY
GRADE 3 - MARS,90,OUTSTANDING
GRADE 3 - MARS,90,OUTSTANDING
GRADE 3 - MERCURY,88,VERY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,86,VERY SATISFACTORY
GRADE 3 - MERCURY,80,SATISFACTORY
GRADE 3 - MERCURY,87,VERY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,85,VERY SATISFACTORY
GRADE 3 - MERCURY,79,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,83,SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,80,SATISFACTORY
GRADE 3 - MERCURY,86,VERY SATISFACTORY
GRADE 3 - MERCURY,79,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,88,VERY SATISFACTORY
GRADE 3 - MERCURY,89,VERY SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,89,VERY SATISFACTORY
GRADE 3 - MERCURY,85,VERY SATISFACTORY
GRADE 3 - MERCURY,89,VERY SATISFACTORY
GRADE 3 - MERCURY,80,SATISFACTORY
GRADE 3 - MERCURY,87,VERY SATISFACTORY
GRADE 3 - MERCURY,79,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,87,VERY SATISFACTORY
GRADE 3 - MERCURY,81,SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,86,VERY SATISFACTORY
GRADE 3 - MERCURY,79,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,85,VERY SATISFACTORY
GRADE 3 - SATURN,86,VERY SATISFACTORY
GRADE 3 - SATURN,82,SATISFACTORY
GRADE 3 - SATURN,79,FAIRLY SATISFACTORY
GRADE 3 - SATURN,84,SATISFACTORY
GRADE 3 - SATURN,83,SATISFACTORY
GRADE 3 - SATURN,85,VERY SATISFACTORY
GRADE 3 - SATURN,86,VERY SATISFACTORY
GRADE 3 - SATURN,82,SATISFACTORY
GRADE 3 - SATURN,87,VERY SATISFACTORY
GRADE 3 - SATURN,82,SATISFACTORY
GRADE 3 - SATURN,94,OUTSTANDING
GRADE 3 - SATURN,76,FAIRLY SATISFACTORY
GRADE 3 - SATURN,84,SATISFACTORY
GRADE 3 - SATURN,93,OUTSTANDING
GRADE 3 - SATURN,85,VERY SATISFACTORY
GRADE 3 - SATURN,81,SATISFACTORY
GRADE 3 - SATURN,91,OUTSTANDING
GRADE 3 - SATURN,77,FAIRLY SATISFACTORY
GRADE 3 - SATURN,91,OUTSTANDING
GRADE 3 - SATURN,82,SATISFACTORY
GRADE 3 - SATURN,86,VERY SATISFACTORY
GRADE 3 - SATURN,83,SATISFACTORY
GRADE 3 - SATURN,91,OUTSTANDING
GRADE 3 - SATURN,88,VERY SATISFACTORY
GRADE 3 - SATURN,88,VERY SATISFACTORY
GRADE 3 - SATURN,88,VERY SATISFACTORY
GRADE 3 - SATURN,77,FAIRLY SATISFACTORY
GRADE 3 - SATURN,84,SATISFACTORY
GRADE 3 - SATURN,84,SATISFACTORY
GRADE 3 - SATURN,88,VERY SATISFACTORY
GRADE 3 - SATURN,84,SATISFACTORY
GRADE 3 - SATURN,87,VERY SATISFACTORY
GRADE 3 - SATURN,79,FAIRLY SATISFACTORY
GRADE 3 - SATURN,88,VERY SATISFACTORY
GRADE 3 - VENUS,78,FAIRLY SATISFACTORY
GRADE 3 - VENUS,80,SATISFACTORY
GRADE 3 - VENUS,84,SATISFACTORY
GRADE 3 - VENUS,80,SATISFACTORY
GRADE 3 - VENUS,83,SATISFACTORY
GRADE 3 - VENUS,83,SATISFACTORY
GRADE 3 - VENUS,76,FAIRLY SATISFACTORY
GRADE 3 - VENUS,83,SATISFACTORY
GRADE 3 - VENUS,79,FAIRLY SATISFACTORY
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,88,VERY SATISFACTORY
GRADE 3 - VENUS,77,FAIRLY SATISFACTORY
GRADE 3 - VENUS,79,FAIRLY SATISFACTORY
GRADE 3 - VENUS,76,FAIRLY SATISFACTORY
GRADE 3 - VENUS,80,SATISFACTORY
GRADE 3 - VENUS,85,VERY SATISFACTORY
GRADE 3 - VENUS,90,OUTSTANDING
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,78,FAIRLY SATISFACTORY
GRADE 3 - VENUS,83,SATISFACTORY
GRADE 3 - VENUS,82,SATISFACTORY
GRADE 3 - VENUS,76,FAIRLY SATISFACTORY
GRADE 3 - VENUS,83,SATISFACTORY
GRADE 3 - VENUS,90,OUTSTANDING
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,81,SATISFACTORY
GRADE 3 - VENUS,86,VERY SATISFACTORY
GRADE 3 - VENUS,79,FAIRLY SATISFACTORY
GRADE 3 - VENUS,78,FAIRLY SATISFACTORY
GRADE 3 - VENUS,79,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,81,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,79,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,86,VERY SATISFACTORY
GRADE 4 - DIAMOND,77,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,81,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,75,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,78,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,77,FAIRLY SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,81,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,85,VERY SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,82,SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,85,VERY SATISFACTORY
GRADE 4 - DIAMOND,80,SATISFACTORY
GRADE 4 - DIAMOND,85,VERY SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,88,VERY SATISFACTORY
GRADE 4 - DIAMOND,83,SATISFACTORY
GRADE 4 - DIAMOND,89,VERY SATISFACTORY
GRADE 4 - DIAMOND,81,SATISFACTORY
GRADE 4 - DIAMOND,89,VERY SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - DIAMOND,84,SATISFACTORY
GRADE 4 - RUBY,85,VERY SATISFACTORY
GRADE 4 - RUBY,75,FAIRLY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,82,SATISFACTORY
GRADE 4 - RUBY,88,VERY SATISFACTORY
GRADE 4 - RUBY,79,FAIRLY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,77,FAIRLY SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - RUBY,86,VERY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,79,FAIRLY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,86,VERY SATISFACTORY
GRADE 4 - RUBY,88,VERY SATISFACTORY
GRADE 4 - RUBY,82,SATISFACTORY
GRADE 4 - RUBY,81,SATISFACTORY
GRADE 4 - RUBY,84,SATISFACTORY
GRADE 4 - RUBY,86,VERY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - RUBY,84,SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,81,SATISFACTORY
GRADE 4 - RUBY,78,FAIRLY SATISFACTORY
GRADE 4 - RUBY,76,FAIRLY SATISFACTORY
GRADE 4 - RUBY,81,SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - RUBY,88,VERY SATISFACTORY
GRADE 4 - RUBY,84,SATISFACTORY
GRADE 4 - RUBY,85,VERY SATISFACTORY
GRADE 4 - RUBY,81,SATISFACTORY
GRADE 4 - RUBY,82,SATISFACTORY
GRADE 4 - RUBY,84,SATISFACTORY
GRADE 4 - RUBY,77,FAIRLY SATISFACTORY
GRADE 4 - RUBY,84,SATISFACTORY
GRADE 4 - RUBY,85,VERY SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - RUBY,75,FAIRLY SATISFACTORY
GRADE 4 - RUBY,80,SATISFACTORY
GRADE 4 - RUBY,82,SATISFACTORY
GRADE 4 - RUBY,83,SATISFACTORY
GRADE 4 - SAPPHIRE,81,SATISFACTORY
GRADE 4 - SAPPHIRE,84,SATISFACTORY
GRADE 4 - SAPPHIRE,81,SATISFACTORY
GRADE 4 - SAPPHIRE,82,SATISFACTORY
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,83,SATISFACTORY
GRADE 4 - SAPPHIRE,85,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,83,SATISFACTORY
GRADE 4 - SAPPHIRE,79,FAIRLY SATISFACTORY
GRADE 4 - SAPPHIRE,84,SATISFACTORY
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,89,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,82,SATISFACTORY
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,81,SATISFACTORY
GRADE 4 - SAPPHIRE,89,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,82,SATISFACTORY
GRADE 4 - SAPPHIRE,92,OUTSTANDING
GRADE 4 - SAPPHIRE,82,SATISFACTORY
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,93,OUTSTANDING
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,88,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,84,SATISFACTORY
GRADE 4 - SAPPHIRE,83,SATISFACTORY
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,91,OUTSTANDING
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,88,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,89,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,89,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,83,SATISFACTORY
GRADE 4 - SAPPHIRE,83,SATISFACTORY
GRADE 4 - SAPPHIRE,84,SATISFACTORY
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,86,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,90,OUTSTANDING
GRADE 4 - SAPPHIRE,89,VERY SATISFACTORY
GRADE 4 - SAPPHIRE,87,VERY SATISFACTORY
GRADE 4 - TOPAZ,80,SATISFACTORY
GRADE 4 - TOPAZ,84,SATISFACTORY
GRADE 4 - TOPAZ,81,SATISFACTORY
GRADE 4 - TOPAZ,84,SATISFACTORY
GRADE 4 - TOPAZ,82,SATISFACTORY
GRADE 4 - TOPAZ,82,SATISFACTORY
GRADE 4 - TOPAZ,81,SATISFACTORY
GRADE 4 - TOPAZ,84,SATISFACTORY
GRADE 4 - TOPAZ,77,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,80,SATISFACTORY
GRADE 4 - TOPAZ,82,SATISFACTORY
GRADE 4 - TOPAZ,82,SATISFACTORY
GRADE 4 - TOPAZ,89,VERY SATISFACTORY
GRADE 4 - TOPAZ,80,SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,81,SATISFACTORY
GRADE 4 - TOPAZ,81,SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
GRADE 4 - TOPAZ,86,VERY SATISFACTORY
GRADE 4 - TOPAZ,80,SATISFACTORY
GRADE 4 - TOPAZ,81,SATISFACTORY
GRADE 4 - TOPAZ,82,SATISFACTORY
GRADE 4 - TOPAZ,83,SATISFACTORY
GRADE 4 - TOPAZ,83,SATISFACTORY
GRADE 4 - TOPAZ,80,SATISFACTORY
GRADE 4 - TOPAZ,79,FAIRLY SATISFACTORY
